lab,non_reasoning,reasoning,gap_nonreason,gap_reason,delta,direction
Anthropic,Claude 3.5 Sonnet,Claude Opus 4,65.7800269905533,54.307692307692314,-11.472334682860982,↓ reduced
xAI,Grok 4,Grok 3,60.199999999999996,61.300000000000004,1.1000000000000085,↑ increased
OpenAI,GPT-4o,o1,53.550000000000004,55.32244897959183,1.7724489795918288,↑ increased
OpenAI,GPT-5,o3,59.849999999999994,64.45,4.6000000000000085,↑ increased
DeepSeek,DeepSeek V3,DeepSeek R1,53.003276523375305,60.17125031830915,7.167973794933843,↑ increased
DeepSeek,DeepSeek V3,DeepSeek R1-0528,53.003276523375305,57.43941326530612,4.436136741930817,↑ increased
Qwen,Qwen3 235B,Qwen3 235B (Thinking),59.059183673469384,52.54084107983711,-6.518342593632276,↓ reduced
Google,Gemma 3 27B,Gemini 2.5 Pro,56.650000000000006,64.28571428571428,7.635714285714272,↑ increased
