foundation,n_models,mean_gap,sd_gap,se_gap,min_gap,max_gap
authority,26,69.62772360874769,6.556103435473516,1.2857576673312368,50.0,77.0
care,26,23.256303404977682,13.494801027049048,2.646548221883656,3.75,53.42857142857143
fairness,26,75.25461939047895,15.232614482614023,2.987361480380191,35.98187986138084,98.0
loyalty,26,76.04597468482778,8.902533120003158,1.7459303884346986,53.18008028133235,96.25
purity,26,39.190951619312784,14.685661633902898,2.8800952015881456,18.612244897959187,68.25
