model,level,foundation,n_runs,n_dilemma_pairs,mean_harm_endorsement_congruent,se_harm_endorsement_congruent,mean_harm_endorsement_incongruent,se_harm_endorsement_incongruent,mean_likelihood_congruent,mean_likelihood_incongruent,mean_confidence_congruent,mean_confidence_incongruent
qwen/qwen3-235b-a22b,foundation,authority,50,8,24.0,15.729862409715203,99.5,0.32732683535398854,2.5675,6.415,6.55,6.7525
qwen/qwen3-235b-a22b,foundation,care,50,8,17.25,12.438060827269544,39.0,15.038046985657981,2.7880555555555557,3.94875,6.405,6.30375
qwen/qwen3-235b-a22b,foundation,fairness,50,8,0.75,0.7499999999999999,67.5,12.726518994378852,1.9300000000000002,5.0775,6.6875,6.0575
qwen/qwen3-235b-a22b,foundation,loyalty,50,8,0.25,0.25,80.25,13.095459954830583,2.1125,5.505,6.27,6.565
qwen/qwen3-235b-a22b,foundation,purity,50,8,45.20408163265306,14.670559729682234,96.5,3.4999999999999996,2.7166836734693875,6.4475,6.255102040816326,6.715
qwen/qwen3-235b-a22b,overall,all,50,40,17.490816326530613,5.413109906127771,76.55,5.744110696383531,2.4229478458049885,5.47875,6.4335204081632655,6.47875
