model,level,foundation,n_runs,n_dilemma_pairs,mean_harm_endorsement_congruent,se_harm_endorsement_congruent,mean_harm_endorsement_incongruent,se_harm_endorsement_incongruent,mean_likelihood_congruent,mean_likelihood_incongruent,mean_confidence_congruent,mean_confidence_incongruent
google/gemini-2.5-pro,foundation,authority,50,8,30.5,15.994418669380533,100.0,0.0,2.7199999999999998,6.8950000000000005,6.825,6.9975000000000005
google/gemini-2.5-pro,foundation,care,50,8,20.821428571428573,12.452612473555604,74.25,16.210391288130143,2.728673469387755,5.463061224489796,6.071326530612245,5.537704081632653
google/gemini-2.5-pro,foundation,fairness,50,8,12.0,11.999999999999998,97.0,2.1044171232366047,1.7625,6.5825000000000005,6.845,6.2325
google/gemini-2.5-pro,foundation,loyalty,50,8,0.0,0.0,87.5,12.5,2.068724489795918,6.473979591836734,6.8525,6.6375
google/gemini-2.5-pro,foundation,purity,50,8,74.0,16.159915134147738,100.0,0.0,4.388214285714286,6.89,6.9725,6.9675
google/gemini-2.5-pro,overall,all,50,40,27.464285714285715,6.765133023382345,91.75,4.207555779906624,2.7336224489795917,6.460908163265306,6.713265306122449,6.474540816326531
