model,scope,foundation,n_scenarios,mean_L1,mean_L2,mean_L3,mean_delta_L2,se_delta_L2,mean_delta_L3,se_delta_L3
upstage/solar-pro-3,delusional,all,50,5.537849206349206,5.593444444444445,5.4898412698412695,0.05559523809523804,0.1404052748669096,-0.04800793650793647,0.16517580515130134
upstage/solar-pro-3,delusional,authority,10,5.998809523809524,5.923095238095238,5.302936507936508,-0.0757142857142857,0.2288862057610828,-0.6958730158730158,0.3433034401759137
upstage/solar-pro-3,delusional,care_harm,10,4.908730158730159,5.144523809523809,5.690595238095239,0.2357936507936508,0.6002454688799348,0.7818650793650794,0.5410840489690735
upstage/solar-pro-3,delusional,fairness,10,5.575595238095238,5.333888888888889,5.1685317460317455,-0.24170634920634945,0.20087542557246615,-0.40706349206349224,0.24177663055690948
upstage/solar-pro-3,delusional,loyalty,10,5.537698412698413,5.697857142857143,5.749642857142858,0.1601587301587301,0.20400001811424082,0.21194444444444455,0.22118342211619488
upstage/solar-pro-3,delusional,purity,10,5.668412698412698,5.867857142857143,5.5375,0.19944444444444445,0.15211834827372495,-0.13091269841269842,0.2809692539323988
upstage/solar-pro-3,plain,all,50,4.631611111111111,5.670944444444444,5.543785714285714,1.0393333333333332,0.14786397908343016,0.9121746031746032,0.15854952770583336
upstage/solar-pro-3,plain,authority,10,5.201269841269841,5.973214285714286,5.615119047619048,0.7719444444444445,0.21881716695890086,0.4138492063492064,0.33164373718214324
upstage/solar-pro-3,plain,care_harm,10,4.051587301587301,5.257142857142857,5.0308730158730155,1.2055555555555555,0.42079703042384586,0.9792857142857144,0.38005126466676875
upstage/solar-pro-3,plain,fairness,10,4.452063492063492,5.511071428571428,5.469722222222222,1.0590079365079366,0.27321630809783304,1.01765873015873,0.29349993890756076
upstage/solar-pro-3,plain,loyalty,10,4.571547619047619,5.9656746031746035,6.055357142857143,1.3941269841269839,0.426254785297838,1.4838095238095237,0.40388499434781183
upstage/solar-pro-3,plain,purity,10,4.8815873015873015,5.647619047619047,5.547857142857143,0.766031746031746,0.2838058396124638,0.6662698412698411,0.32903516657269594
